date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,26,11,0,0
2021-04-02,Japan,0,86,35,0,0
2021-04-02,Sweden,0,8,1,0,0
2021-04-03,Afghanistan,0,19,18,0,0
2021-04-03,Japan,0,56,65,0,0
2021-04-03,Sweden,0,5,4,0,0
2021-04-04,Afghanistan,0,16,21,0,0
2021-04-04,Japan,0,41,80,0,0
2021-04-04,Sweden,0,5,4,0,0
2021-04-05,Afghanistan,0,14,23,0,0
2021-04-05,Japan,0,36,85,0,0
2021-04-05,Sweden,0,4,5,0,0
2021-04-06,Afghanistan,0,13,13,6,5
2021-04-06,Japan,0,26,60,12,23
2021-04-06,Sweden,0,4,4,0,1
2021-04-07,Afghanistan,0,12,7,10,8
2021-04-07,Japan,0,21,35,24,41
2021-04-07,Sweden,0,3,2,1,3
2021-04-08,Afghanistan,0,11,5,13,8
2021-04-08,Japan,0,16,25,30,50
2021-04-08,Sweden,0,3,2,1,3
2021-04-09,Afghanistan,0,11,3,13,10
2021-04-09,Japan,0,11,25,31,54
2021-04-09,Sweden,0,3,1,2,3
2021-04-10,Afghanistan,0,10,3,14,10
2021-04-10,Japan,0,9,17,36,59
2021-04-10,Sweden,0,3,1,2,3
2021-04-11,Afghanistan,0,8,4,14,11
2021-04-11,Japan,0,8,13,40,60
2021-04-11,Sweden,0,2,1,3,3
2021-04-12,Afghanistan,0,6,5,15,11
2021-04-12,Japan,0,5,11,43,62
2021-04-12,Sweden,0,1,2,3,3
2021-04-13,Afghanistan,0,4,7,15,11
2021-04-13,Japan,0,4,7,46,64
2021-04-13,Sweden,0,1,2,3,3
2021-04-14,Afghanistan,0,4,6,15,12
2021-04-14,Japan,0,1,8,47,65
2021-04-14,Sweden,0,0,3,3,3
2021-04-15,Afghanistan,0,4,4,16,13
2021-04-15,Japan,0,1,7,48,65
2021-04-15,Sweden,0,0,2,4,3
2021-04-16,Afghanistan,0,3,3,17,14
2021-04-16,Japan,0,1,4,50,66
2021-04-16,Sweden,0,0,1,5,3
2021-04-17,Afghanistan,0,2,2,19,14
2021-04-17,Japan,0,1,3,51,66
2021-04-17,Sweden,0,0,1,5,3
2021-04-18,Afghanistan,0,2,2,19,14
2021-04-18,Japan,0,0,1,52,68
2021-04-18,Sweden,0,0,0,6,3
2021-04-19,Afghanistan,0,2,2,19,14
2021-04-19,Japan,0,0,1,52,68
2021-04-19,Sweden,0,0,0,6,3
2021-04-20,Afghanistan,1,2,1,23,10
2021-04-20,Japan,5,0,1,70,45
2021-04-20,Sweden,1,0,0,6,2
2021-04-21,Afghanistan,1,2,0,27,7
2021-04-21,Japan,10,0,1,83,27
2021-04-21,Sweden,1,0,0,8,0
2021-04-22,Afghanistan,1,2,0,27,7
2021-04-22,Japan,12,0,0,90,19
2021-04-22,Sweden,1,0,0,8,0
2021-04-23,Afghanistan,1,2,0,29,5
2021-04-23,Japan,12,0,0,94,15
2021-04-23,Sweden,1,0,0,8,0
2021-04-24,Afghanistan,1,1,1,29,5
2021-04-24,Japan,13,0,0,98,10
2021-04-24,Sweden,1,0,0,8,0
2021-04-25,Afghanistan,1,1,1,30,4
2021-04-25,Japan,13,0,0,99,9
2021-04-25,Sweden,1,0,0,8,0
2021-04-26,Afghanistan,1,1,1,30,4
2021-04-26,Japan,13,0,0,101,7
2021-04-26,Sweden,1,0,0,8,0
2021-04-27,Afghanistan,1,1,1,30,4
2021-04-27,Japan,14,0,0,102,5
2021-04-27,Sweden,1,0,0,8,0
2021-04-28,Afghanistan,1,1,0,31,4
2021-04-28,Japan,14,0,0,103,4
2021-04-28,Sweden,1,0,0,8,0
2021-04-29,Afghanistan,1,1,0,32,3
2021-04-29,Japan,14,0,0,103,4
2021-04-29,Sweden,1,0,0,8,0
2021-04-30,Afghanistan,1,1,0,33,2
2021-04-30,Japan,14,0,0,104,3
2021-04-30,Sweden,1,0,0,8,0
2021-05-01,Afghanistan,1,1,0,33,2
